# Assembly name:  ASM296699v1
# Organism name:  Ornithorhynchus anatinus (platypus)
# Isolate:  Pmale09
# Sex:  male
# Taxid:          9258
# BioSample:      SAMN08537700
# BioProject:     PRJNA433451
# Submitter:      BGI
# Date:           2018-03-02
# Assembly type:  haploid
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    PTTO01
# Assembly method: Falcon + Dovetail HiRes v. JULY-2016
# Expected final version: no
# Genome coverage: 90.0x
# Sequencing technology: PacBio; Illumina
# GenBank assembly accession: GCA_002966995.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_002967025.1		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
Contig0	unplaced-scaffold	na	na	PTTO01002476.1	<>	na	Primary Assembly	98081192	na
Contig1	unplaced-scaffold	na	na	PTTO01002473.1	<>	na	Primary Assembly	30422930	na
Contig10	unplaced-scaffold	na	na	PTTO01000885.1	<>	na	Primary Assembly	7713551	na
Contig100	unplaced-scaffold	na	na	PTTO01000496.1	<>	na	Primary Assembly	50273	na
Contig1000	unplaced-scaffold	na	na	PTTO01000100.1	<>	na	Primary Assembly	10265	na
Contig1001	unplaced-scaffold	na	na	PTTO01001439.1	<>	na	Primary Assembly	6841	na
Contig1002	unplaced-scaffold	na	na	PTTO01001258.1	<>	na	Primary Assembly	14776	na
Contig1003	unplaced-scaffold	na	na	PTTO01000622.1	<>	na	Primary Assembly	45943	na
Contig1004	unplaced-scaffold	na	na	PTTO01000066.1	<>	na	Primary Assembly	18567	na
Contig1005	unplaced-scaffold	na	na	PTTO01003452.1	<>	na	Primary Assembly	15335	na
Contig1006	unplaced-scaffold	na	na	PTTO01001084.1	<>	na	Primary Assembly	33391	na
Contig1007	unplaced-scaffold	na	na	PTTO01002710.1	<>	na	Primary Assembly	46587	na
Contig1008	unplaced-scaffold	na	na	PTTO01004268.1	<>	na	Primary Assembly	24517	na
Contig1009	unplaced-scaffold	na	na	PTTO01003222.1	<>	na	Primary Assembly	81021	na
Contig101	unplaced-scaffold	na	na	PTTO01004559.1	<>	na	Primary Assembly	266068	na
Contig1010	unplaced-scaffold	na	na	PTTO01003215.1	<>	na	Primary Assembly	13746	na
Contig1011	unplaced-scaffold	na	na	PTTO01001878.1	<>	na	Primary Assembly	53401	na
