discrep_type,seqtype,seqname,placetype,query_start,query_stop,query_length,gap_length,number_masked,number_het,number_chrY,target_name,target_seq_id,target_start,target_stop
Inv,scaffold,Contig1034,unplaced,1,631486,631214,0,272627,0,0,1,ref|NC_041728.1|,81697556,82329152
SP Only,scaffold,Contig1095,unplaced,1,32959,32923,0,17130,0,0,1,ref|NC_041728.1|,74302267,74335322
SP Only,scaffold,Contig1426,unplaced,4,9248,9213,0,7306,0,0,1,ref|NC_041728.1|,137515293,137524566
SP Only,scaffold,Contig162,unplaced,1,18217,18068,0,12489,0,0,1,ref|NC_041728.1|,181752614,181770866
SP Only,scaffold,Contig1919,unplaced,1,3268,3258,0,228,0,0,1,ref|NC_041728.1|,36724712,36728006
SP Only,scaffold,Contig1920,unplaced,1,19403,19350,0,10903,0,0,1,ref|NC_041728.1|,139566126,139585574
SP,scaffold,Contig20,unplaced,96,3469,3193,0,1120,0,0,1,ref|NC_041728.1|,186485675,186488918
SP Only,scaffold,Contig2022,unplaced,1,33731,33725,0,22281,0,0,1,ref|NC_041728.1|,167213860,167247588
Inv,scaffold,Contig22,unplaced,1,33088449,32834586,300,15934470,0,0,1,ref|NC_041728.1|,6984,32933717
SP,scaffold,Contig2204,unplaced,7420,9172,1747,0,955,0,0,1,ref|NC_041728.1|,38673923,38675689
SP Only,scaffold,Contig2640,unplaced,2,32214,32090,0,25132,0,0,1,ref|NC_041728.1|,181861091,181893407
SP,scaffold,Contig2679,unplaced,49318,50722,1396,0,873,0,0,1,ref|NC_041728.1|,38680124,38681528
Inv,scaffold,Contig278,unplaced,1,144229,144187,0,109248,0,0,1,ref|NC_041728.1|,181818433,181965739
SP Only,scaffold,Contig2964,unplaced,1,33728,33608,0,22694,0,0,1,ref|NC_041728.1|,179166146,179199911
SP Only,scaffold,Contig2990,unplaced,1,10913,10832,0,6063,0,0,1,ref|NC_041728.1|,38505598,38516604
SP,scaffold,Contig3,unplaced,595985,600405,4417,0,3682,0,0,1,ref|NC_041728.1|,183038823,183043247
SP Only,scaffold,Contig3055,unplaced,1,23316,23273,0,13263,0,0,1,ref|NC_041728.1|,99356774,99380197
Inv,scaffold,Contig3120,unplaced,1,32969,32962,0,26093,0,0,1,ref|NC_041728.1|,179282974,179315992
