Sequence_Name,GenBank_Accn,Sequence_Length
Contig0,PTTO01002476.1,98081192
Contig1,PTTO01002473.1,30422930
Contig10,PTTO01000885.1,7713551
Contig100,PTTO01000496.1,50273
Contig1000,PTTO01000100.1,10265
Contig1001,PTTO01001439.1,6841
Contig1002,PTTO01001258.1,14776
Contig1003,PTTO01000622.1,45943
Contig1004,PTTO01000066.1,18567
Contig1005,PTTO01003452.1,15335
Contig1006,PTTO01001084.1,33391
Contig1007,PTTO01002710.1,46587
Contig1008,PTTO01004268.1,24517
Contig1009,PTTO01003222.1,81021
Contig101,PTTO01004559.1,266068
Contig1010,PTTO01003215.1,13746
Contig1011,PTTO01001878.1,53401
Contig1012,PTTO01002498.1,5098
Contig1013,PTTO01000612.1,50143
Contig1014,PTTO01001133.1,48594
Contig1015,PTTO01000201.1,32674
Contig1016,PTTO01000671.1,19859
Contig1017,PTTO01003797.1,15041
Contig1018,PTTO01004316.1,10231
Contig1019,PTTO01002026.1,79331
Contig102,PTTO01003882.1,14275274
Contig1020,PTTO01004445.1,573
Contig1021,PTTO01001770.1,42918
Contig1022,PTTO01001173.1,62576
Contig1023,PTTO01003361.1,36898
Contig1024,PTTO01002685.1,22772
Contig1025,PTTO01003681.1,36020
Contig1026,PTTO01002527.1,52020
Contig1027,PTTO01004568.1,56775
Contig1028,PTTO01003847.1,116438
Contig1029,PTTO01001194.1,20625
Contig103,PTTO01000667.1,54574
Contig1030,PTTO01004299.1,30116
Contig1031,PTTO01003405.1,36871
Contig1032,PTTO01004522.1,6380
Contig1033,PTTO01000128.1,54116
Contig1034,PTTO01000586.1,631486
Contig1035,PTTO01001978.1,31939
Contig1036,PTTO01001906.1,45367
Contig1037,PTTO01002590.1,34887
Contig1038,PTTO01003106.1,2773
Contig1039,PTTO01004440.1,37803
Contig104,PTTO01000052.1,11421
Contig1040,PTTO01001755.1,31393
Contig1041,PTTO01000159.1,26643
Contig1042,PTTO01000888.1,7926
Contig1043,PTTO01001128.1,44875
Contig1044,PTTO01001733.1,15883
Contig1045,PTTO01002681.1,70017
Contig1046,PTTO01001225.1,15163
Contig1047,PTTO01003719.1,48040
Contig1048,PTTO01004414.1,12860
Contig1049,PTTO01000947.1,5741596
Contig105,PTTO01002736.1,26855
Contig1050,PTTO01002275.1,69616
Contig1051,PTTO01000001.1,5817
Contig1052,PTTO01004058.1,1394
Contig1053,PTTO01001669.1,146282
Contig1054,PTTO01000853.1,26830
Contig1055,PTTO01002621.1,150787
Contig1056,PTTO01002422.1,27131
Contig1057,PTTO01004257.1,15520
Contig1058,PTTO01003409.1,32188
